,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-03 22:00:00,BTCUSD,30,33900.0,34175.0,33660.0,34011.5,103413671,346.9409928003952,449.14407000919437,30362.036845375773,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 22:30:00,BTCUSD,30,34011.5,34128.0,33533.5,33903.5,208664201,309.89439522734756,421.294135052825,30397.275284725267,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 23:00:00,BTCUSD,30,33903.5,33961.5,33020.5,33092.5,373414632,212.64256641396787,379.5638213250536,30424.09344109616,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 23:30:00,BTCUSD,30,33092.5,33690.5,32809.5,33570.0,238737999,172.1160046209916,338.07425798424117,30455.395993921073,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 00:00:00,BTCUSD,30,33570.0,33829.0,33411.0,33459.5,234326131,129.58817410374468,296.37704120814186,30485.28757607111,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 00:30:00,BTCUSD,30,33459.5,33548.0,32621.0,32698.0,277481267,34.045421714406984,243.9107173093949,30507.30461511518,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 01:00:00,BTCUSD,30,32698.0,33175.0,32446.5,33090.0,372790505,-9.927337812448968,193.14310628502614,30533.00307665632,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 01:30:00,BTCUSD,30,33090.0,33252.0,32846.0,32915.0,224185925,-58.22591193961125,142.86930264009865,30556.70453858014,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 02:00:00,BTCUSD,30,32915.0,33056.5,32585.0,32596.0,298059601,-120.85042543594318,90.12535702489028,30576.996035708697,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 02:30:00,BTCUSD,30,32596.0,32880.0,32370.5,32839.0,135837478,-149.153387002174,42.269608219477426,30599.50353784095,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 03:00:00,BTCUSD,30,32839.0,32972.5,32601.5,32693.5,91478447,-181.23515589877206,-2.431344604172473,30620.339323534074,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 03:30:00,BTCUSD,30,32693.5,32823.5,32533.0,32805.0,96421851,-195.4105001237549,-41.02717570808896,30642.07724071284,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-04 04:00:00,BTCUSD,30,32805.0,33784.5,32762.5,33754.5,192399982,-128.54604901655694,-58.53095036978256,30673.046621402264,Bull,1,0.0,,0.0,0.0,0.0,0.0
